"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
0c557e12-1398-4dcc-8133-13c10a839901,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A","#N/A",false,15.0
150c4c4f-04c8-4a78-821a-f69310fa771f,QTY,Left,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",false,5.0
1d17273d-7959-49fd-9a4e-022b1466042d,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2dabe537-10e5-41c2-a6bf-96860cdb7bf7,"#N/A",3.0,false,10.0
2e304ffc-004e-43d4-8ee8-73b55a8bbfe4,PRODUCT,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",true,45.0
378be0e3-7fc2-45e3-a44e-3b5b0d7f3e4e,PART #,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",false,15.0
3a64e5b1-0b57-4fa2-8ff3-e05102890242,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",true,45.0
3b0fb3dc-f293-4ef0-8482-e8f51bd82b1c,LIST PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",false,10.0
4a503831-7725-4109-8d27-cd0b18181e43,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__TotalDiscountRate__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",5c7a32d8-8b92-43c9-8206-b2da4cb27885,"#N/A","#N/A",false,10.0
4c6e5611-bca1-490a-9d93-1a26fa243c9d,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A",3.0,false,10.0
68d280be-f51f-4beb-b2eb-601f104ca520,PRODUCT,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",73533eb4-5d49-4473-9aaf-ff7325ec4f50,"#N/A","#N/A",true,45.0
