Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
b3624972-f055-443b-bf18-049a77e1a890,1112 TEST 1112,#N/A,false,false,#N/A,All,false,#N/A,0.0,#N/A,#N/A,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7dc096da-a4c4-4bb0-87dd-ef95f45540ef,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,#N/A,950.0,onCloneGroup,#N/A,#N/A,Clone Group,Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
aa93a6d1-fca6-45c7-84de-48ee81917250,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,#N/A,995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
747125c0-f900-4b6e-b336-1b394e1a1642,Clone Line,Clone Line,true,false,cloneBtn,All,false,#N/A,993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
243ba8b0-6e6a-4990-a891-e78990d3d3cf,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,#N/A,901.0,onAddFavorites,#N/A,#N/A,Add Favorites,Quote/Group,#N/A,Quote Line Editor,4a73946f-a347-4ff8-9956-80f9909e6707,#N/A,#N/A,Button,#N/A,#N/A
c0fff2c8-67be-4967-ae2d-3c5927ed05ab,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,#N/A,951.0,onDeleteGroup,#N/A,#N/A,Delete Group,Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
177b2366-d419-48f4-aaa3-d7c692f9b84b,Add Group,Add Group,true,false,addGroupBtn,All,false,#N/A,905.0,onAddGroup,#N/A,#N/A,Add Group,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
590601f1-f14c-43c9-b51b-15789085a46e,Apply Edit Rules,Apply Edit Rules,true,false,#N/A,All,false,#N/A,901.0,#N/A,#N/A,#N/A,Apply Rules,Configurator,#N/A,Product Configurator,#N/A,#N/A,#N/A,Button,#N/A,#N/A
7236a495-bc0c-45e1-a202-ffb6f2ed1f77,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,#N/A,999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
34bb8803-0e36-4e28-a4d7-fee29ad25697,Separator,#N/A,true,false,#N/A,All,false,#N/A,914.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
6c972fde-d168-4b0a-9d77-6063ea59c6fc,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,#N/A,992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
f8ec4bea-ab55-4c95-a63d-8a7794f78738,Ungroup,Ungroup,true,false,ungroupBtn,All,false,#N/A,906.0,onUngroup,#N/A,#N/A,Ungroup,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
710d81d7-021c-4998-ae62-13b8bf220d53,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,#N/A,990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
46fb9512-d05f-480a-b719-3afa585b38b0,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,#N/A,997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
093d0119-13c7-4597-a71e-f0e40318157d,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,#N/A,991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
0821b6b1-7ad6-4165-8b2f-da3a81bb682f,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,#N/A,998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
7937e9f9-62ac-4740-8394-ed59b794e978,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,#N/A,903.0,onRenewSubscriptions,#N/A,#N/A,Renew Subscriptions,Quote/Group,#N/A,Quote Line Editor,4a73946f-a347-4ff8-9956-80f9909e6707,#N/A,#N/A,Button,#N/A,#N/A
